;eco;name;pgn
92;B01;Scandinavian Defense: Blackburne Gambit;1. e4 d5 2. exd5 c6 3. dxc6 Nxc6
93;B01;Scandinavian Defense: Blackburne-Kloosterboer Gambit;1. e4 d5 2. exd5 c6
94;B01;Scandinavian Defense: Boehnke Gambit;1. e4 d5 2. exd5 e5 3. dxe6 Bxe6
95;B01;Scandinavian Defense: Bronstein Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6
96;B01;Scandinavian Defense: Classical Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 Bf5
97;B01;Scandinavian Defense: Grünfeld Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 Bf5 6. Ne5 c6 7. g4
98;B01;Scandinavian Defense: Gubinsky-Melts Defense;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6
99;B01;Scandinavian Defense: Icelandic-Palme Gambit;1. e4 d5 2. exd5 Nf6 3. c4 e6
100;B01;Scandinavian Defense: Kiel Variation;1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb4
101;B01;Scandinavian Defense: Kloosterboer Gambit;1. e4 d5 2. exd5 c6 3. dxc6 e5
102;B01;Scandinavian Defense: Kádas Gambit;1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5
103;B01;Scandinavian Defense: Lasker Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 Bg4 6. h3
104;B01;Scandinavian Defense: Main Line;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5
105;B01;Scandinavian Defense: Main Line, Leonhardt Gambit;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. b4
106;B01;Scandinavian Defense: Main Line, Mieses Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6
107;B01;Scandinavian Defense: Marshall Variation;1. e4 d5 2. exd5 Nf6 3. d4 Nxd5
108;B01;Scandinavian Defense: Mieses-Kotroc Variation;1. e4 d5 2. exd5 Qxd5
109;B01;Scandinavian Defense: Modern Variation;1. e4 d5 2. exd5 Nf6
110;B01;Scandinavian Defense: Modern Variation;1. e4 d5 2. exd5 Nf6 3. d4
111;B01;Scandinavian Defense: Modern Variation, Gipslis Variation;1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4
112;B01;Scandinavian Defense: Modern Variation, Wing Gambit;1. e4 d5 2. exd5 Nf6 3. d4 g6 4. c4 b5
113;B01;Scandinavian Defense: Panov Transfer;1. e4 d5 2. exd5 Nf6 3. c4 c6
114;B01;Scandinavian Defense: Portuguese Variation;1. e4 d5 2. exd5 Nf6 3. d4 Bg4
115;B01;Scandinavian Defense: Portuguese Variation, Portuguese Gambit;1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. f3 Bf5
116;B01;Scandinavian Defense: Richter Variation;1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6
117;B01;Scandinavian Defense: Richter Variation;1. e4 d5 2. exd5 Nf6 3. d4 g6
118;B01;Scandinavian Defense: Schiller-Pytel Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6
119;B01;Scandinavian Defense: Schiller-Pytel Variation, Modern Variation;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 c6 6. Nge2 Bf5 7. Bf4 Qb4
120;B01;Scandinavian Defense: Zilbermints Gambit;1. e4 d5 2. b4
121;B01;Van Geet Opening: Grünfeld Defense;1. e4 d5 2. Nc3 dxe4 3. Nxe4 e5
122;B02;Alekhine Defense;1. e4 Nf6
123;B02;Alekhine Defense: Brooklyn Variation;1. e4 Nf6 2. e5 Ng8
124;B02;Alekhine Defense: Brooklyn Variation, Everglades Variation;1. e4 Nf6 2. e5 Ng8 3. d4 f5
125;B02;Alekhine Defense: Buckley Attack;1. e4 Nf6 2. e5 Nd5 3. Na3
126;B02;Alekhine Defense: Hunt Variation, Lasker Simul Gambit;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3
127;B02;Alekhine Defense: Hunt Variation, Matsukevich Gambit;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5
128;B02;Alekhine Defense: Hunt Variation, Mikenas Gambit;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6 7. Nxd5 exd5 8. Bxd5
129;B02;Alekhine Defense: Kmoch Variation;1. e4 Nf6 2. e5 Nd5 3. Bc4 Nb6 4. Bb3 c5 5. d3
130;B02;Alekhine Defense: Krejcik Variation;1. e4 Nf6 2. Bc4
131;B02;Alekhine Defense: Krejcik Variation, Krejcik Gambit;1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+
132;B02;Alekhine Defense: Maróczy Variation;1. e4 Nf6 2. d3
133;B02;Alekhine Defense: Mokele Mbembe;1. e4 Nf6 2. e5 Ne4
134;B02;Alekhine Defense: Mokele Mbembe, Modern Line;1. e4 Nf6 2. e5 Ne4 3. d4 f6
135;B02;Alekhine Defense: Mokele Mbembe, Vavra Defense;1. e4 Nf6 2. e5 Ne4 3. d4 e6
136;B02;Alekhine Defense: Normal Variation;1. e4 Nf6 2. e5 Nd5
137;B02;Alekhine Defense: Scandinavian Variation;1. e4 Nf6 2. Nc3 d5
138;B02;Alekhine Defense: Scandinavian Variation, Geschev Gambit;1. e4 Nf6 2. Nc3 d5 3. exd5 c6
139;B02;Alekhine Defense: Scandinavian Variation, Myers Gambit;1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5
140;B02;Alekhine Defense: Spielmann Gambit;1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6
141;B02;Alekhine Defense: Steiner Variation;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3
142;B02;Alekhine Defense: Sämisch Attack;1. e4 Nf6 2. e5 Nd5 3. Nc3
143;B02;Alekhine Defense: The Squirrel;1. e4 Nf6 2. e5 Nd5 3. c4 Nf4
144;B02;Alekhine Defense: Two Pawn Attack;1. e4 Nf6 2. e5 Nd5 3. c4
145;B02;Alekhine Defense: Two Pawn Attack, Lasker Variation;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5
146;B02;Alekhine Defense: Two Pawns Attack, Mikenas Variation;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6
147;B02;Alekhine Defense: Welling Variation;1. e4 Nf6 2. e5 Nd5 3. b3
148;B02;English Opening: Achilles-Omega Gambit;1. e4 Nf6 2. c4
149;B02;King's Pawn Game: Clam Variation, Radisch Gambit;1. e4 Nf6 2. d3 e5 3. f4 Bc5
150;B03;Alekhine Defense;1. e4 Nf6 2. e5 Nd5 3. d4
151;B03;Alekhine Defense;1. e4 Nf6 2. e5 Nd5 3. d4 d6
152;B03;Alekhine Defense;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4
153;B03;Alekhine Defense: Balogh Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4
154;B03;Alekhine Defense: Exchange Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6
155;B03;Alekhine Defense: Exchange Variation, Karpov Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. h3 Bg7 8. Nf3 O-O 9. Be2 Nc6 10. O-O Bf5 11. Bf4
156;B03;Alekhine Defense: Four Pawns Attack;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4
157;B03;Alekhine Defense: Four Pawns Attack, Cambridge Gambit;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5
158;B03;Alekhine Defense: Four Pawns Attack, Fianchetto Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6
159;B03;Alekhine Defense: Four Pawns Attack, Ilyin-Zhenevsky Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Nf3 Bg4 8. e6 fxe6 9. c5
160;B03;Alekhine Defense: Four Pawns Attack, Korchnoi Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Nf3 Be7 9. Be2 O-O 10. O-O f6
161;B03;Alekhine Defense: Four Pawns Attack, Main Line;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3
162;B03;Alekhine Defense: Four Pawns Attack, Tartakower Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. O-O Be7
163;B03;Alekhine Defense: Four Pawns Attack, Trifunovic Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 Bf5
164;B03;Alekhine Defense: Hunt Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. c5
165;B03;Alekhine Defense: Modern Variation, Alekhine Gambit;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2
166;B03;Alekhine Defense: O'Sullivan Gambit;1. e4 Nf6 2. e5 Nd5 3. d4 b5
167;B04;Alekhine Defense: Modern Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
168;B04;Alekhine Defense: Modern Variation, Alburt Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6
169;B04;Alekhine Defense: Modern Variation, Keres Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4
170;B04;Alekhine Defense: Modern Variation, Larsen Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5
171;B04;Alekhine Defense: Modern Variation, Larsen-Haakert Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nc6
172;B04;Alekhine Defense: Modern Variation, Schmid Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nb6
173;B05;Alekhine Defense: Modern Variation, Alekhine Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4
174;B05;Alekhine Defense: Modern Variation, Flohr Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6
175;B05;Alekhine Defense: Modern Variation, Main Line;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4
176;B05;Alekhine Defense: Modern Variation, Panov Variation;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. h3
177;B05;Alekhine Defense: Modern Variation, Vitolins Attack;1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4 Nb6 6. d5
178;B06;Modern Defense;1. e4 g6
179;B06;Modern Defense;1. e4 g6 2. d4 Bg7
180;B06;Modern Defense: Anti-Modern;1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Bc4 d6 5. Qe2
181;B06;Modern Defense: Bishop Attack;1. e4 g6 2. d4 Bg7 3. Bc4
182;B06;Modern Defense: Bishop Attack, Bücker Gambit;1. e4 g6 2. d4 Bg7 3. Bc4 b5
183;B06;Modern Defense: Bishop Attack, Monkey's Bum;1. e4 g6 2. Bc4 Bg7 3. Qf3 e6 4. d4 Bxd4
184;B06;Modern Defense: Dunworthy Variation;1. e4 g6 2. d4 Bg7 3. c4 d5 4. exd5 c6 5. dxc6 Bxd4
185;B06;Modern Defense: Fianchetto Gambit;1. e4 g6 2. d4 f5
186;B06;Modern Defense: Gurgenidze Defense;1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d5 5. e5 h5
187;B06;Modern Defense: Lizard Defense, Mittenberger Gambit;1. e4 g6 2. d4 Bg7 3. Nc3 d5
188;B06;Modern Defense: Masur Gambit;1. e4 g6 2. d4 Nh6 3. Nc3 f5 4. Bxh6 Bxh6 5. exf5 O-O
189;B06;Modern Defense: Modern Pterodactyl;1. e4 g6 2. d4 Bg7 3. Nc3 c5
190;B06;Modern Defense: Mongredien Defense;1. e4 g6 2. d4 Bg7 3. Nc3 b6
191;B06;Modern Defense: Mongredien Defense;1. e4 g6 2. d4 Bg7 3. Nf3 b6
192;B06;Modern Defense: Norwegian Defense;1. e4 g6 2. d4 Nf6
193;B06;Modern Defense: Norwegian Defense, Norwegian Gambit;1. e4 g6 2. d4 Nf6 3. e5 Nh5 4. Be2 d6
194;B06;Modern Defense: Pseudo-Austrian Attack;1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4
195;B06;Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Declined;1. e4 g6 2. d4 Bg7 3. c4 c5 4. Nf3 d6 5. Be2 Qa5+
196;B06;Modern Defense: Standard Defense;1. e4 g6 2. d4 Bg7 3. Nc3 d6
197;B06;Modern Defense: Standard Line;1. e4 g6 2. d4 Bg7 3. Nc3
198;B06;Modern Defense: Three Pawns Attack;1. e4 g6 2. d4 Bg7 3. f4
199;B06;Modern Defense: Two Knights Variation;1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3
200;B06;Modern Defense: Two Knights Variation, Suttles Variation;1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d6
201;B06;Modern Defense: Two Knights Variation, Suttles Variation, Tal Gambit;1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 c6 5. Bg5 Qb6 6. Qd2 Qxb2
202;B06;Modern Defense: Westermann Gambit;1. e4 g6 2. d4 Bg7 3. Bd2
203;B06;Modern Defense: Wind Gambit;1. e4 g6 2. d4 Bg7 3. Bd3
204;B06;Norwegian Defense;1. e4 g6 2. d4 Nf6 3. e5 Nh5 4. g4 Ng7
205;B06;Pterodactyl Defense: Austrian, Austriadactylus Western;1. e4 g6 2. d4 Bg7 3. f4 c5 4. Nf3 Qa5+
206;B06;Pterodactyl Defense: Austrian, Grand Prix Pterodactyl;1. e4 g6 2. Nc3 Bg7 3. f4 c5 4. Nf3 Qa5
207;B06;Pterodactyl Defense: Austrian, Pteranodon;1. e4 g6 2. d4 Bg7 3. f4 c5 4. c3 Qa5
208;B06;Pterodactyl Defense: Central, Anhanguera;1. e4 g6 2. d4 Bg7 3. c4 c5 4. Nc3 d6 5. Be3 Qa5
209;B06;Pterodactyl Defense: Central, Benoni Quetzalcoatlus;1. e4 g6 2. d4 Bg7 3. c4 c5 4. d5 d6 5. Nc3 Qa5
210;B06;Pterodactyl Defense: Central, Quetzalcoatlus Gambit;1. e4 g6 2. d4 Bg7 3. c4 c5 4. Nc3 d6 5. dxc5 Qa5
211;B06;Pterodactyl Defense: Eastern, Anhanguera;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Be3
212;B06;Pterodactyl Defense: Eastern, Benoni;1. d4 g6 2. e4 Bg7 3. Nc3 c5 4. d5
213;B06;Pterodactyl Defense: Eastern, Benoni Pteranodon;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 Qa5
214;B06;Pterodactyl Defense: Eastern, Benoni Pterodactyl;1. d4 g6 2. Nc3 Bg7 3. e4 c5 4. d5 Qa5
215;B06;Pterodactyl Defense: Eastern, Pteranodon;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Bxc3+ 5. bxc3 Qa5
216;B06;Pterodactyl Defense: Eastern, Pterodactyl;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Qa5
217;B06;Pterodactyl Defense: Eastern, Rhamphorhynchus;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5
218;B06;Pterodactyl Defense: Fianchetto, King Pterodactyl;1. e4 g6 2. d4 Bg7 3. g3 c5 4. Nf3 Qa5+
219;B06;Pterodactyl Defense: Fianchetto, Rhamphorhynchus;1. e4 g6 2. d4 Bg7 3. g3 c5 4. dxc5 Qa5+
220;B06;Pterodactyl Defense: Sicilian, Quetzalcoatlus;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Nf3 Qa5 5. Be2 d6
221;B06;Pterodactyl Defense: Sicilian, Siroccopteryx;1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Nf3 Qa5 5. Bc4
222;B06;Pterodactyl Defense: Western, Anhanguera;1. e4 g6 2. d4 Bg7 3. Nf3 c5 4. Be3 Qa5+
223;B06;Pterodactyl Defense: Western, Siroccopteryx;1. e4 g6 2. Nf3 Bg7 3. d4 c5 4. Bc4 cxd4 5. Nxd4 Qa5+
224;B06;Rat Defense: Accelerated Gurgenidze;1. e4 g6 2. d4 d6 3. Nc3 c6
225;B07;Czech Defense;1. e4 d6 2. d4 Nf6 3. Nc3 c6
226;B07;Lion Defense: Anti-Philidor;1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4
227;B07;Lion Defense: Anti-Philidor, Lion's Cave;1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 e5
228;B07;Lion Defense: Anti-Philidor, Lion's Cave, Lion Claw Gambit;1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 e5 5. Nf3 exd4 6. Qxd4 c6 7. Bc4 d5
229;B07;Lion Defense: Bayonet Attack;1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. g4
230;B07;Modern Defense: Geller's System;1. e4 g6 2. d4 Bg7 3. Nf3 d6 4. c3
231;B07;Philidor Defense: Lion Variation, Lion's Claw;1. e4 d6 2. d4 Nf6 3. Nc3 c6 4. Be2 Nbd7 5. Nf3 e5 6. O-O Be7
232;B07;Pirc Defense;1. e4 d6 2. d4 Nf6 3. Nc3
233;B07;Pirc Defense;1. e4 d6 2. d4 Nf6 3. Nc3 g6
234;B07;Pirc Defense: 150 Attack;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2
235;B07;Pirc Defense: 150 Attack, Inner Doll Defense;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2 Bg4
236;B07;Pirc Defense: 150 Attack, Sveshnikov-Jansa Attack;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. h3
237;B07;Pirc Defense: Bayonet Attack;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be2 Bg7 5. h4
238;B07;Pirc Defense: Byrne Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5
239;B07;Pirc Defense: Chinese Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be2 Bg7 5. g4
240;B07;Pirc Defense: Classical Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be2
241;B07;Pirc Defense: Kholmov System;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bc4
242;B07;Pirc Defense: Sveshnikov System;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. g3
243;B08;Pirc Defense: Classical Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3
244;B08;Pirc Defense: Classical Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7
245;B08;Pirc Defense: Classical Variation, Quiet System;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be2
246;B08;Pirc Defense: Classical Variation, Quiet System, Chigorin Line;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be2 O-O 6. O-O Nc6
247;B08;Pirc Defense: Classical Variation, Quiet System, Czech Defense;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be2 O-O 6. O-O c6
248;B08;Pirc Defense: Classical Variation, Quiet System, Parma Defense;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be2 O-O 6. O-O Bg4
249;B08;Pirc Defense: Classical Variation, Schlechter Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. h3
250;B09;Pirc Defense: Austrian Attack;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4
251;B09;Pirc Defense: Austrian Attack;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O
252;B09;Pirc Defense: Austrian Attack, Dragon Formation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 c5
253;B09;Pirc Defense: Austrian Attack, Kurajica Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Be3
254;B09;Pirc Defense: Austrian Attack, Ljubojevic Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bc4
255;B09;Pirc Defense: Austrian Attack, Unzicker Attack;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. e5
256;B09;Pirc Defense: Austrian Attack, Unzicker Attack, Bronstein Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. e5 Nfd7 7. h4
257;B09;Pirc Defense: Austrian Attack, Weiss Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Bd3
258;B10;Caro-Kann Defense;1. e4 c6
259;B10;Caro-Kann Defense;1. e4 c6 2. Nc3
260;B10;Caro-Kann Defense;1. e4 c6 2. Nc3 d5
261;B10;Caro-Kann Defense: Accelerated Panov Attack;1. e4 c6 2. c4
262;B10;Caro-Kann Defense: Accelerated Panov Attack;1. e4 c6 2. c4 d5
263;B10;Caro-Kann Defense: Accelerated Panov Attack, Modern Variation;1. e4 c6 2. c4 d5 3. exd5 cxd5 4. cxd5 Nf6
264;B10;Caro-Kann Defense: Accelerated Panov Attack, Open Variation;1. e4 c6 2. c4 e5
265;B10;Caro-Kann Defense: Accelerated Panov Attack, Pseudo-Scandinavian;1. e4 c6 2. c4 d5 3. exd5 Qxd5
266;B10;Caro-Kann Defense: Accelerated Panov Attack, Van Weersel Attack;1. e4 c6 2. c4 d5 3. cxd5 cxd5 4. Qb3
267;B10;Caro-Kann Defense: Apocalypse Attack;1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. Ne5
268;B10;Caro-Kann Defense: Breyer Variation;1. e4 c6 2. d3
269;B10;Caro-Kann Defense: Breyer Variation, Stein Attack;1. e4 c6 2. d3 d5 3. Nd2 g6 4. Ngf3 Bg7 5. g3 e5 6. Bg2 Ne7 7. O-O O-O 8. b4
270;B10;Caro-Kann Defense: Euwe Attack;1. e4 c6 2. b3
271;B10;Caro-Kann Defense: Goldman Variation;1. e4 c6 2. Nc3 d5 3. Qf3
272;B10;Caro-Kann Defense: Hector Gambit;1. e4 c6 2. Nc3 d5 3. Nf3 dxe4 4. Ng5
273;B10;Caro-Kann Defense: Hillbilly Attack;1. e4 c6 2. Bc4
274;B10;Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit;1. e4 c6 2. Bc4 d5 3. Bb3 dxe4 4. Qh5
275;B10;Caro-Kann Defense: Labahn Attack;1. e4 c6 2. b4
276;B10;Caro-Kann Defense: Labahn Attack, Double Gambit;1. e4 c6 2. b4 d5 3. b5
277;B10;Caro-Kann Defense: Labahn Attack, Polish Variation;1. e4 c6 2. b4 e5 3. Bb2
278;B10;Caro-Kann Defense: Scorpion-Horus Gambit;1. e4 c6 2. Nc3 d5 3. d3 dxe4 4. Bg5
279;B10;Caro-Kann Defense: Spike Variation;1. e4 c6 2. g4
280;B10;Caro-Kann Defense: Spike Variation, Scorpion-Grob Gambit;1. e4 c6 2. g4 d5 3. Nc3 dxe4 4. d3
281;B10;Caro-Kann Defense: Toikkanen Gambit;1. e4 c6 2. c4 d5 3. e5
282;B10;Caro-Kann Defense: Two Knights Attack;1. e4 c6 2. Nc3 d5 3. Nf3
283;B11;Caro-Kann Defense: Two Knights Attack, Mindeno Variation;1. e4 c6 2. Nc3 d5 3. Nf3 Bg4
284;B11;Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line;1. e4 c6 2. Nc3 d5 3. Nf3 Bg4 4. h3 Bxf3
285;B11;Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Retreat Line;1. e4 c6 2. Nc3 d5 3. Nf3 Bg4 4. h3 Bh5
286;B12;Caro-Kann Defense;1. e4 c6 2. d4
287;B12;Caro-Kann Defense;1. e4 c6 2. d4 d5
288;B12;Caro-Kann Defense: Advance Variation;1. e4 c6 2. d4 d5 3. e5
289;B12;Caro-Kann Defense: Advance Variation, Bayonet Attack;1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4
290;B12;Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense;1. e4 c6 2. d4 d5 3. e5 c5
291;B12;Caro-Kann Defense: Advance Variation, Bronstein Variation;1. e4 c6 2. d4 d5 3. e5 Bf5 4. Ne2
292;B12;Caro-Kann Defense: Advance Variation, Prins Attack;1. e4 c6 2. d4 d5 3. e5 Bf5 4. b4
293;B12;Caro-Kann Defense: Advance Variation, Short Variation;1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3
294;B12;Caro-Kann Defense: Advance Variation, Tal Variation;1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4
295;B12;Caro-Kann Defense: Advance Variation, Van der Wiel Attack;1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3
296;B12;Caro-Kann Defense: Advance Variation, Van der Wiel Attack;1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 c5 7. h4
297;B12;Caro-Kann Defense: Advance Variation, Van der Wiel Attack, Dreyev Defense;1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 Qb6
298;B12;Caro-Kann Defense: Advance, Short Variation;1. e4 c6 2. d4 d5 3. e5 Bf5 4. c3 e6 5. Be2
299;B12;Caro-Kann Defense: De Bruycker Defense;1. e4 c6 2. d4 Na6
300;B12;Caro-Kann Defense: De Bruycker Defense;1. e4 c6 2. d4 Na6 3. Nc3 Nc7
301;B12;Caro-Kann Defense: Edinburgh Variation;1. e4 c6 2. d4 d5 3. Nd2 Qb6
302;B12;Caro-Kann Defense: Maróczy Variation;1. e4 c6 2. d4 d5 3. f3
303;B12;Caro-Kann Defense: Maróczy Variation, Maróczy Gambit;1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 e5 5. Nf3 exd4 6. Bc4
304;B12;Caro-Kann Defense: Masi Variation;1. e4 c6 2. d4 Nf6
305;B12;Caro-Kann Defense: Massachusetts Defense;1. e4 c6 2. d4 f5
306;B12;Caro-Kann Defense: Mieses Attack, Landau Gambit;1. e4 c6 2. d4 d5 3. Bd3 Nf6 4. e5 Nfd7 5. e6
307;B12;Caro-Kann Defense: Mieses Gambit;1. e4 c6 2. d4 d5 3. Be3
308;B12;Caro-Kann Defense: Modern Variation;1. e4 c6 2. d4 d5 3. Nd2
309;B12;Caro-Kann Defense: Ulysses Gambit;1. e4 c6 2. d4 d5 3. Nf3 dxe4 4. Ng5
310;B13;Caro-Kann Defense: Exchange Variation;1. e4 c6 2. d4 d5 3. exd5
